Date,Close,Volume,Predict,SM1,SM2,SM3,SM4
3/5/2020,3.960000038,3599400,,,,,
3/6/2020,3.920000076,2096800,,,,,
3/9/2020,3.700000048,2732000,,,,,
3/10/2020,4.230000019,4863200,,,,,
3/11/2020,4.139999866,4414100,,,,,
3/12/2020,3.980000019,5123400,,,,,
3/13/2020,4.590000153,5787200,,,,,
3/16/2020,4.369999886,4866700,,,,,
3/17/2020,4.230000019,3562200,,,,,
3/18/2020,3.769999981,3651700,,,,,
3/19/2020,4.190000057,5039500,,,,,
3/20/2020,3.75999999,7722200,,,,,
3/23/2020,3.809999943,6009800,,,,,
3/24/2020,4.159999847,6805600,,,,,
3/25/2020,4.170000076,3592100,,,,,
3/26/2020,4.409999847,6185700,,,,,
3/27/2020,4.21999979,7024800,,,,,
3/30/2020,3.650000095,3350600,,,,,
3/31/2020,3.5,2300900,,,,,
4/1/2020,3.25,4568700,,,,,
4/2/2020,2.849999905,4064300,,,,,
4/3/2020,2.799999952,3830400,,,,,
4/6/2020,3.089999914,3340500,,,,,
4/7/2020,3.269999981,2836900,,,,,
4/8/2020,3.410000086,2884500,,,,,
4/9/2020,3.890000105,5908600,,,,,
4/13/2020,4.739999771,6844500,,,,,
4/14/2020,5.949999809,13506600,,,,,
4/15/2020,5.269999981,7499900,,,,,
4/16/2020,5.03000021,3371900,,,,,
4/17/2020,4.880000114,5653200,,,,,
4/20/2020,5.610000134,6085000,,,,,
4/21/2020,4.78000021,4142100,,,,,
4/22/2020,4.889999866,2677800,,,,,
4/23/2020,4.699999809,2265900,,,,,
4/24/2020,4.769999981,2236200,,,,,
4/27/2020,5.820000172,7275100,,,,,
4/28/2020,5.639999866,5200200,,,,,
4/29/2020,6.039999962,3369600,,,,,
4/30/2020,5.730000019,2173300,,,,,
5/1/2020,6.050000191,4005600,,,,,
5/4/2020,5.480000019,4068100,,,,,
5/5/2020,5.389999866,2105900,,,,,
5/6/2020,4.929999828,3369600,,,,,
5/7/2020,4.869999886,2500800,,,,,
5/8/2020,4.980000019,2353700,,,,,
5/11/2020,4.760000229,1699200,,,,,
5/12/2020,4.539999962,2639200,,,,,
5/13/2020,4.210000038,2882900,,,,,
5/14/2020,4.130000114,2004900,,,,,
5/15/2020,4.21999979,1940600,,,,,
5/18/2020,4.579999924,2371700,,,,,
5/19/2020,4.440000057,1840700,,,,,
5/20/2020,4.429999828,2543600,,,,,
5/21/2020,4.440000057,1971900,,,,,
5/22/2020,4.179999828,2379900,,,,,
5/26/2020,4.420000076,3545700,,,,,
5/27/2020,4.690000057,3146600,,,,,
5/28/2020,4.329999924,2183900,,,,,
5/29/2020,4.059999943,3973500,,,,,
6/1/2020,4.130000114,2611600,,,,,
6/2/2020,4.179999828,2369400,,,,,
6/3/2020,4.440000057,3037400,,,,,
6/4/2020,4.46999979,3514300,,,,,
6/5/2020,4.139999866,6274400,,,,,
6/8/2020,5.010000229,10133700,,,,,
