Date,Close,Volume,Predict,SM1,SM2,SM3,SM4
2021-01-04,1728.239990234375,1901900.0,,,,,
2021-01-05,1740.9200439453125,1145300.0,,,,,
2021-01-06,1735.2900390625,2602100.0,,,,,
2021-01-07,1787.25,2265000.0,,,,,
2021-01-08,1807.2099609375,2050600.0,,,,,
2021-01-11,1766.719970703125,1209700.0,,,,,
2021-01-12,1746.550048828125,1357700.0,,,,,
2021-01-13,1754.4000244140625,1094100.0,,,,,
2021-01-14,1740.1800537109375,1179500.0,,,,,
2021-01-15,1736.18994140625,1342200.0,,,,,
2021-01-19,1790.8599853515625,1734600.0,,,,,
2021-01-20,1886.9000244140625,2490300.0,,,,,
2021-01-21,1891.25,2063900.0,,,,,
2021-01-22,1901.050048828125,1272100.0,,,,,
2021-01-25,1899.4000244140625,1927300.0,,,,,
2021-01-26,1917.239990234375,1313100.0,,,,,
2021-01-27,1830.7900390625,2748300.0,,,,,
2021-01-28,1863.1099853515625,1773100.0,,,,,
2021-01-29,1835.739990234375,1612600.0,,,,,
2021-02-01,1901.3499755859375,1602200.0,,,,,
2021-02-02,1927.510009765625,2273700.0,,,,,
2021-02-03,2070.070068359375,4118200.0,,,,,
2021-02-04,2062.3701171875,1852300.0,,,,,
2021-02-05,2098.0,1533900.0,,,,,
2021-02-08,2092.909912109375,1241900.0,,,,,
2021-02-09,2083.510009765625,889900.0,,,,,
2021-02-10,2095.3798828125,1135500.0,,,,,
2021-02-11,2095.889892578125,945200.0,,,,,
2021-02-12,2104.110107421875,855700.0,,,,,
2021-02-16,2121.89990234375,1133800.0,,,,,
2021-02-17,2128.31005859375,1070900.0,,,,,
2021-02-18,2117.199951171875,1121600.0,,,,,
2021-02-19,2101.139892578125,1457400.0,,,,,
2021-02-22,2064.8798828125,1367500.0,,,,,
2021-02-23,2070.860107421875,1667400.0,,,,,
2021-02-24,2095.169921875,1248300.0,,,,,
2021-02-25,2031.3599853515625,1828400.0,,,,,
2021-02-26,2036.8599853515625,2083500.0,,,,,
2021-03-01,2081.510009765625,1404500.0,,,,,
2021-03-02,2075.840087890625,1133600.0,,,,,
2021-03-03,2026.7099609375,1483100.0,,,,,
2021-03-04,2049.090087890625,2116100.0,,,,,
2021-03-05,2108.5400390625,2193800.0,,,,,
2021-03-08,,,2112.625,,,,
2021-03-09,,,2112.625,,,,
2021-03-10,,,2112.625,,,,
2021-03-11,,,2112.625,,,,
2021-03-12,,,2112.625,,,,
2021-03-15,,,2112.625,,,,
2021-03-16,,,2112.625,,,,
2021-03-17,,,2112.625,,,,
2021-03-18,,,2112.625,,,,
2021-03-19,,,2112.625,,,,
