,ID,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJCLOSE
0,,MSFT,2020-10-30,203.5,204.289993,199.619995,202.470001,36953700.0,202.470001
1,,MSFT,2020-06-30,197.3892,203.9092,197.2492,203.0192,34310300.0,203.0192
2,,MSFT,2020-01-16,163.0386,164.9286,162.7186,164.8586,23865400.0,164.8586
3,,MSFT,2019-11-25,148.8065,150.1565,148.7265,150.0365,22420900.0,150.0365
4,,MSFT,2019-09-20,139.4404,140.0804,136.6804,137.8704,39167300.0,137.8704
5,,MSFT,2019-09-10,135.2682,135.3582,132.9782,134.5482,28903400.0,134.5482
6,,MSFT,2019-09-06,138.4642,138.6142,136.6342,137.5342,20824500.0,137.5342
7,,MSFT,2019-06-03,122.1078,122.6278,117.2678,118.0978,37983600.0,118.0978
8,,MSFT,2019-03-13,112.0493,112.9193,111.6993,112.4193,35513800.0,112.4193
9,,MSFT,2019-02-28,110.0042,110.8442,109.6942,109.9942,29083900.0,109.9942
10,,MSFT,2019-02-06,104.6305,104.6305,103.1605,103.6605,20609800.0,103.6605
11,,MSFT,2019-01-07,99.3592,100.9892,98.6992,99.7792,35656100.0,99.7792
12,,MSFT,2018-01-18,86.2876,87.1575,86.1476,86.5875,24159700.0,86.5875
13,,MSFT,2017-10-13,74.197,74.477,73.897,74.097,15335700.0,74.097
14,,MSFT,2017-08-11,68.0681,69.1581,67.7381,68.9581,21443700.0,68.9581
15,,MSFT,2017-07-20,70.5541,70.6741,69.6541,70.5941,42361000.0,70.5941
16,,MSFT,2017-07-05,64.8852,66.0652,64.8452,65.7052,21176300.0,65.7052
17,,MSFT,2017-06-09,68.6046,68.6446,65.1546,66.8846,49187400.0,66.8846
18,,MSFT,2016-11-15,54.7994,55.9594,54.7894,55.3394,35904100.0,55.3394
19,,MSFT,2016-08-03,52.5745,53.0045,52.3845,52.8645,22075600.0,52.8645
20,,MSFT,2016-02-04,47.6759,48.3859,46.9459,47.5759,46987100.0,47.5759
